City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
khatanga,RU,1554240655,68,91,71.98,102.47,18.73,5.19
upernavik,GL,1554240752,44,100,72.79,-56.15,13.96,18.28
dikson,RU,1554240706,76,98,73.51,80.55,25.57,24.76
cayenne,GF,1554238800,90,78,4.94,-52.33,80.6,11.41
port lincoln,AU,1554240760,44,97,-34.72,135.86,61.57,7.43
nouakchott,MR,1554238800,20,82,18.08,-15.98,66.2,8.05
rikitea,PF,1554240655,12,100,-23.12,-134.97,76.15,16.71
lyubashivka,UA,1554240816,0,65,47.84,30.26,30.25,6.42
hobart,AU,1554240686,0,45,-42.88,147.33,64.4,13.87
lebu,ET,1554240729,100,78,8.96,38.73,52.84,1.83
nanortalik,GL,1554240816,68,97,60.14,-45.24,32.77,15.14
atuona,PF,1554240726,0,100,-9.8,-139.03,81.82,12.46
pangnirtung,CA,1554238800,90,77,66.15,-65.72,-0.41,12.75
butaritari,KI,1554240714,92,100,3.07,172.79,77.05,9.44
busselton,AU,1554240606,0,51,-33.64,115.35,61,22.97
codrington,AU,1554240400,75,93,-28.95,153.24,69.8,9.17
iracoubo,GF,1554240818,92,65,5.48,-53.21,81.91,6.98
flinders,AU,1554240725,20,100,-34.58,150.85,64.99,2.62
cape town,ZA,1554240365,0,67,-33.93,18.42,64.99,10.29
richards bay,ZA,1554240818,92,100,-28.77,32.06,65.35,3.06
lafiagi,NG,1554240686,0,43,8.85,5.42,89.2,8.66
kavaratti,IN,1554240819,0,100,10.57,72.64,84.34,10
ushuaia,AR,1554238800,75,81,-54.81,-68.31,46.4,18.34
woodward,US,1554240665,90,24,36.43,-99.39,73.4,13.87
abramovka,RU,1554240820,92,87,51.19,41.01,36.55,19.17
port-gentil,GA,1554238800,90,94,-0.72,8.78,75.2,25.28
helong,CN,1554240821,64,96,25.94,116.13,57.88,2.39
wladyslawowo,PL,1554240724,0,38,54.79,18.4,45,13.87
bayonet point,US,1554240607,1,60,28.33,-82.68,77,8.05
mataura,NZ,1554240608,0,88,-46.19,168.86,48.99,3.29
punta arenas,CL,1554240149,75,87,-53.16,-70.91,50,12.75
yellowknife,CA,1554240471,40,56,62.45,-114.38,12.2,12.75
gold coast,AU,1554240722,75,100,-28,153.41,70,8.05
kamina,CD,1554240822,12,83,-8.74,25,71.74,2.62
pizarro,CO,1554240823,92,100,4.95,-77.37,75.88,3.96
terra santa,BR,1554240555,44,60,-2.1,-56.49,89.2,3.18
barrow,AR,1554240654,0,50,-38.31,-60.23,69.31,17.72
priladozhskiy,RU,1554240635,0,74,59.85,31.48,32,4.47
port elizabeth,US,1554240729,90,65,39.31,-74.98,48.99,11.41
